query,avg_ms,median_ms,p95_ms,min_ms,max_ms
Como alterar a senha de acesso do aplicativo?,1582.84,1582.84,1582.84,1582.84,1582.84
Esqueci minha senha do app. O que devo fazer para recuperar?,1281.33,1281.33,1281.33,1281.33,1281.33
Como ativar a autenticação de dois fatores para maior segurança?,1369.0,1369.0,1369.0,1369.0,1369.0
Qual o limite diário padrão para transferências (TED/Pix)?,1285.39,1285.39,1285.39,1285.39,1285.39
Como configurar alertas e notificações de transações na minha conta?,4728.98,4728.98,4728.98,4728.98,4728.98
O que é o PIX e como posso começar a usar no NovaBank?,11187.65,11187.65,11187.65,11187.65,11187.65
Como fazer portabilidade de salário para o NovaBank?,15596.83,15596.83,15596.83,15596.83,15596.83
Onde encontro meu Informe de Rendimentos para Declaração de Imposto de Renda?,12274.79,12274.79,12274.79,12274.79,12274.79
